time	speed	ra	dec	vx	vy	vz	mass	sunlon
2015-06-01 01:19:17.050	16442.82001	226.9437101	-22.76756847	-10351.098481898978	-11078.353230044824	-6363.268013343496	0.03341056092	70.05598398
2015-06-01 05:12:18.050	70340.66624	346.9953162	-1.613636713	68509.36701227153	-15822.532740517252	-1980.7615556186847	0.000607362264	70.21104743
2015-06-02 04:02:17.050	38161.83165	266.1604609	-13.56089013	-2484.1683745368696	-37014.66222410497	-8948.132922867724	0.00030774165799999997	71.1224871
2015-06-03 21:08:05.050	14068.11106	229.6359501	3.879981922	-9090.216043616625	-10694.555899421393	951.9428507112726	0.01180576386	72.76230553
2015-06-03 23:54:14.050	16258.580210000002	236.5647617	23.54161254	-8212.777539221212	-12438.67788435528	6493.920851497816	0.000366709332	72.87277137
2015-06-04 21:21:02.050	15667.79014	97.21728148	48.99739793	-1291.44300091236	10198.085945878634	11824.164490015704	0.0009350995560000001	73.72819887
2015-06-05 04:43:37.050	39105.63891	12.90375291	56.64474507	20958.414563615945	4801.562542610594	32664.060535829223	0.00017628202800000001	74.02237282
2015-06-06 02:18:42.050	15754.972049999998	233.2809778	-1.531710075	-9416.39494885983	-12624.313723738178	-421.1335512686617	0.002267755879	74.88305496
2015-06-06 03:26:58.050	64979.452809999995	323.7340161	-25.74823613	47189.729903254265	-34621.187905243394	-28228.213318854505	0.000382643807	74.92843048
2015-06-06 03:46:27.050	54258.53572	355.5329812	42.16516829	40094.955850692786	-3132.319673397225	36422.13320596641	0.000753000111	74.94137743
2015-06-06 23:40:07.050	57768.90104999999	303.3498814	3.798075694	31688.71700203772	-48150.05723760971	3826.634461816901	0.00017934618	75.73451971
2015-06-06 23:49:21.050	25290.945359999998	251.224297	31.64557358	-6929.875770890783	-20384.70777388283	13269.22861269362	0.000142413125	75.74065439
2015-06-07 04:04:19.050	54884.91415	345.9137508	48.10328543	35549.49326220291	-8920.346006371097	40853.577042654164	3.5886619e-05	75.91005282
2015-06-07 05:08:16.050	41767.81718	43.38955038	23.82531142	27766.056451057866	26247.463491317045	16872.08704963763	0.0005742260099999999	75.95253998
2015-06-07 21:05:47.050	27240.948	254.1416455	-33.68749702	-6193.854701933314	-21803.83321905871	-15109.542310259252	0.003900794727	76.58864492
2015-06-07 21:27:40.050	35687.96323	271.8869911	16.87416022	1124.5460917634045	-34132.88366089988	10359.168334610926	0.001454202364	76.6031931
2015-06-07 21:36:04.050	23700.97618	258.6973525	-16.8701418	-4445.282875121004	-22241.1190127162	-6878.107087511601	0.000808498375	76.60877321
2015-06-07 22:40:15.400	11137.08137	139.808974	40.27498187	-6490.867218876241	5483.46565408732	7199.640866693533	0.006653024132	76.65142105
2015-06-07 22:57:13.050	36910.51553	291.9587509	36.7395222	11060.640107245117	-27432.890395500053	22079.06070594609	3.1617239e-05	76.66268082
2015-06-07 23:27:31.050	38841.35183	282.7748949	-18.20727884	8158.633058439505	-35983.32974010817	-12136.197897786153	0.004323322202	76.68280886
2015-06-08 01:42:40.050	33822.69692	273.4244849	-15.05675398	1950.969758189516	-32603.20859820336	-8786.315100589441	0.00060732481	76.77258701
2015-06-08 03:25:04.050	33454.71677	288.9699117	49.45016128	7070.053487166238	-20568.00763197174	25420.257274478558	0.000154404449	76.84060889
2015-06-08 03:31:19.050	55883.05124	344.6875171	39.2677345	41728.58467169266	-11425.421265303701	35370.897445501556	0.000142089112	76.84476059
2015-06-08 04:35:28.050	60076.31673	2.884007688	-21.86732421	55683.13923783115	2805.2042873059186	-22375.939429889127	5.568683e-06	76.88737347
2015-06-08 22:58:17.050	40371.77661	286.1692131	-31.76742867	9558.313160595644	-32966.03676001505	-21254.63282461176	2.6023829e-05	77.61989363
2015-06-08 23:33:03.050	22547.97134	252.0658334	-8.532775263	-6866.210206698179	-21214.933606636823	-3345.5584007586294	0.00071676158	77.64298516
2015-06-09 00:21:06.050	27350.97282	262.5427983	-23.21670735	-3262.303547889215	-24923.503687475502	-10782.024564162479	0.000300782943	77.67489915
2015-06-09 00:39:13.050	18029.466	253.5815813	-7.355461751	-5054.090207164191	-17151.96640037015	-2308.2168493398694	0.0018143532650000001	77.68693189
2015-06-09 22:36:49.050	17259.37035	239.3769322	2.034527564	-8786.172541665957	-14842.964307111186	612.737728851225	0.1775495876	78.56199638
2015-06-09 23:26:37.050	28904.842940000002	265.2330958	-26.47976498	-2150.0615114664197	-25782.99822978302	-12888.141183506028	0.000141694923	78.59506804
2015-06-09 23:52:17.050	20370.9791	238.9108509	75.89036443	-2564.2985773537353	-4252.7070849046295	19756.407688363295	0.001325202581	78.61211294
2015-06-10 00:48:03.050	27241.4904	261.1213701	-14.40522244	-4072.315532273912	-26068.872653427756	-6777.088165153175	0.001149880283	78.64914671
2015-06-10 00:49:41.050	66181.59724	337.3946586	21.31809202	56916.67297288669	-23698.34997672249	24060.015779625388	0.000142905533	78.65023138
2015-06-10 02:36:04.050	65926.99888	337.3369641	-27.44101734	53991.584945545736	-22544.252783040658	-30381.484539860838	4.9468535e-05	78.72087832
2015-06-10 02:58:43.050	16398.022839999998	241.1990456	4.066888087	-7880.154284711706	-14333.38187063795	1162.964170027898	0.01153662314	78.73591962
2015-06-10 04:19:05.050	30687.82262	269.5044575	-14.46543198	-256.9970902022209	-29713.862003158032	-7665.69073922845	0.000264055133	78.78927776
2015-06-10 04:42:40.050	65482.04823	316.5985968	-5.102948157	47387.925845491416	-44814.73225196909	-5824.3366697482215	9.0481338e-05	78.80494977
2015-06-10 22:10:20.050	11956.785670000001	206.7310626	-21.98667319	-9902.267274122143	-4987.049875211338	-4476.512027496584	0.01032287407	79.50063576
2015-06-10 22:35:23.050	15251.883230000001	232.5396076	14.4306134	-8983.72260862385	-11724.58819694034	3800.8817088964006	8.101392e-05	79.51726895
2015-06-10 22:52:27.050	18803.84678	250.7702687	26.56920579	-5539.140536575473	-15879.708207928163	8410.555455666507	0.00028165661199999997	79.52860118
2015-06-10 23:02:17.050	21852.14327	246.0605308	80.469393	-1468.1440656956597	-3306.903394703715	21550.524551227656	0.006309256192	79.53513049
2015-06-11 00:02:33.050	50780.76788	311.2074381	31.04409087	28662.164379876638	-32731.951844739644	26187.51702580861	0.004510598911	79.57514726
2015-06-11 00:04:53.050	52980.77214	304.5761452	9.178402245	29681.68113704339	-43064.39452891854	8450.913872897643	3.746891e-06	79.57669658
2015-06-11 01:50:54.050	76131.98696000001	341.9011741	1.306970394	72346.30957484664	-23644.778012429888	1736.4913247627578	0.0005731825619999999	79.64709056
2015-06-11 02:27:51.050	36154.94543	282.0924477	-21.08940397	7066.776157841584	-32984.7778683122	-13009.426688341848	2.3934727e-05	79.67162481
2015-06-11 02:48:06.050	69962.73989	346.8529033	-10.82325053	66917.03245342924	-15630.076335854936	-13137.596975011855	5.9190321999999995e-05	79.68507048
2015-06-11 04:22:40.050	66385.31155	14.97273403	-1.082276081	64120.01526458895	17148.206211919853	-1253.8962369021529	1.3781359e-05	79.74784976
2015-06-11 05:08:37.050	41616.39318000001	46.80190737	24.6981	25881.404770033405	27562.73544729602	17388.86664232073	0.000693911449	79.7783705
2015-06-11 22:58:00.050	15929.8599	242.5141288	65.21144492	-3082.523008148148	-5925.0384440395455	14462.10246729426	0.000263999167	80.48837702
2015-06-11 23:10:10.050	31872.811080000003	313.8439627	75.52953853	5516.917667812169	-5744.15939634748	30861.696946495114	0.00032222333	80.49644347
2015-06-12 01:11:11.050	25902.2191	255.9196751	-8.020315306	-6239.904791403721	-24878.256426827313	-3613.9866712049507	0.014552719109999999	80.57679771
2015-06-12 01:32:50.050	21504.37766	264.6176662	-20.15500013	-1893.6178250094451	-20098.52589438368	-7409.569957123165	0.49046809430000005	80.59117109
2015-06-12 02:05:40.050	27267.432370000002	265.7097745	-17.78616826	-1942.3408419812806	-25891.381502490967	-8329.258310231697	0.000721117598	80.61296899
2015-06-12 02:48:16.050	22664.87514	255.1431116	-15.9718379	-5587.063343732877	-21061.490885547766	-6236.576784013388	0.1305695888	80.64125084
2015-06-12 02:52:48.050	62467.1874	313.9680963	-7.977942851	42948.589698028176	-44524.15442117742	-8669.937583183304	1.1886516999999999e-05	80.64426048
2015-06-12 03:03:53.050	32441.04888	269.8670975	-24.85066084	-68.28208591506906	-29437.131149829165	-13633.499171491143	0.002476922555	80.6516186
2015-06-12 03:08:37.050	38476.48615	277.8378071	8.411318412	5190.5716239353715	-37707.033937566965	5628.28075873192	0.000110929291	80.65476102
2015-06-12 04:18:55.050	63856.83192	327.3038991	16.01080176	51654.02598488535	-33156.331592981565	17612.90032073568	0.00017171797299999998	80.70143236
2015-06-12 22:58:24.050	35979.40295	282.925097	-23.41198091	7385.207112487675	-32180.72640689821	-14296.048421451802	3.037458e-05	81.44460141
2015-06-12 23:46:39.050	65290.880020000004	328.971075	11.65778858	54794.120876227054	-32961.28982119732	13193.05516211039	7.3443736e-05	81.47661929
2015-06-12 23:49:13.050	27412.050440000003	254.7375193	34.85948716	-5921.121933005252	-21699.79609821298	15667.790963488414	0.000902006948	81.47833413
2015-06-13 00:23:47.050	23979.93241	250.2500514	54.22681202	-4736.952883054803	-13193.543784808382	19455.817591924308	8.333916e-05	81.50127981
2015-06-13 00:27:57.050	40494.62775	284.1465498	-27.02936964	8815.99125183934	-34977.63504427862	-18402.668870786503	1.4506612e-05	81.50404567
2015-06-13 00:31:05.050	9403.762409	214.4491004	15.25249673	-7481.465903804185	-5132.0893466556545	2473.878394966189	0.002024659556	81.50612561
2015-06-13 00:38:20.050	26967.228030000002	292.037006	80.24514515	1714.3653316058926	-4235.325231556846	26577.327919012918	0.001277983292	81.51093821
