time	speed	ra	dec	vx	vy	vz	logmass	sunlon
2016-03-21 06:57:39.050	70128.70407954701	98.58572124742705	-28.1023637249726	-9235.170115610365	61167.812509564515	-33034.00492836396	-9.653417446511853	0.874088670500146
2016-03-21 07:07:10.050	36016.6153480682	19.516255860713045	-5.51822184021228	33790.02027443262	11976.463866826442	-3463.4410967612284	-10.566542112442383	0.88064854160078
2016-03-21 08:15:35.050	61255.9270267215	96.88849622487305	-3.96373392679424	-7329.309754204278	60668.28135388117	-4234.318362649339	-10.62773537931816	0.927807626697092
2016-03-21 08:34:02.050	67677.0881239374	98.03253761645396	-3.4596304064834	-9439.653143256413	66890.97264290716	-4083.9912286931635	-11.65379958192898	0.940524843103845
2016-03-21 08:39:05.050	54267.0748186297	74.90005208187495	14.8075924543772	13667.281260446807	50653.379301548805	13869.24647023116	-8.481158157992693	0.944005690321286
2016-03-21 09:03:29.050	43202.4393298206	154.50588154173602	-14.5544032770154	-37744.39906373145	17998.39905281518	-10856.73684401717	-9.069267389987486	0.960823938618752
2016-03-21 09:29:01.050	60591.826690443806	104.01113627155996	12.79802134641	-14305.471712053068	57328.64194630093	13421.98768339673	-10.511746537908202	0.978423181195931
2016-03-22 00:38:54.050	38858.9298784973	-112.30360193021471	-78.4635423107964	-2949.377654715654	-7190.038280385529	-38073.88806358532	-7.666173259758086	1.60545393634153
2016-03-22 07:57:27.050	61278.8653407006	60.00390369167201	-12.3585213099249	29925.90773772529	51841.34930734733	-13115.406418044	-12.29886318024315	1.90759024121807
2016-03-22 08:03:24.050	67068.4110093063	70.76096826698699	-14.1460722240015	21429.550346634947	61402.57000238632	-16391.172147113994	-10.227383840254967	1.91169023584709
2016-03-22 08:38:44.050	61755.1040858423	78.646651981682	-13.1199588992903	11839.718557922675	58966.21473269673	-14017.82669388865	-11.57897681298921	1.93602937584712
2016-03-22 08:42:34.050	66024.02417321509	68.08931849682199	-14.0971232585705	23895.595252690982	59410.15394458087	-16081.22830588716	-12.512816530022626	1.93867004656269
2016-03-22 08:56:01.050	66985.7562153092	102.11671816242506	-58.6598278175125	-7313.155942909339	34064.327056593786	-57212.15699545803	-12.81735212653944	1.94793532420334
2016-03-22 09:14:50.050	62488.3083442452	112.92118480567592	-51.2495409253237	-15233.238750738847	36024.96141397891	-48733.34866402865	-9.0257579180063	1.96089744335204
2016-03-22 09:30:35.050	61005.2860983386	123.45522138942101	-4.29932123922165	-33536.66788179755	50754.51756157908	-4573.378009471135	-12.17889583491225	1.97174697129059
2016-03-23 23:42:29.050	9671.86521983598	-62.73742084101599	-13.8167723854137	4302.186735817133	-8348.708311467779	-2309.812903864902	-4.975167223161673	3.54981610810117
2016-03-24 02:05:00.050	13920.2795495846	-22.934103931556024	18.1882539867453	12179.397642435812	-5153.324201511666	4345.0783054078975	-5.72704087967566	3.64788624388394
2016-03-24 04:26:27.050	18299.772530959	5.805924054051957	23.1193272064	16743.767208127352	1702.518940802206	7185.35758477547	-7.900188569444184	3.74522837544817
2016-03-24 04:55:14.050	34564.656748431094	18.923231726673976	-8.33974828566854	32350.8203089363	11090.81841937965	-5013.349006814389	-8.209746219466053	3.76504711424523
2016-03-24 06:06:17.050	64388.9552059422	98.32046947760898	-46.2439783773614	-6444.0233942370205	44061.968001528025	-46507.581003957595	-11.768320693346165	3.81393927017534
2016-03-24 07:27:26.050	69158.5195592226	88.76572983917504	-40.8574865793174	1126.720600633302	52295.15451138636	-45242.105863252094	-9.282321496650798	3.8697799635869
2016-03-24 08:42:05.050	65560.32357061861	67.535699120853	-11.8953508796452	24513.15108866964	59284.4318355891	-13513.607672255906	-11.474395786825621	3.92114634575756
2016-03-24 09:50:08.050	62314.2944951658	74.48135181971406	-44.5413636945367	11883.095948523453	42794.96729493901	-43708.74172672484	-10.310710047089838	3.96796999902074
2016-03-25 01:37:21.050	26605.4709111991	14.094580286119026	-3.11008687957352	25766.508087023765	6469.508469537503	-1443.469282867757	-9.207097656165766	4.61960076047849
2016-03-25 02:30:19.050	14568.3780088491	-13.672945602859954	36.0377801359989	11446.569378569722	-2784.647363736256	8570.847468596365	-6.282583493464054	4.65603180748384
2016-03-25 05:52:12.050	68438.8377161537	69.26025753561794	-19.4207604707369	22856.84556517692	60362.22792013983	-22756.11037204661	-11.67672801692551	4.79488260734116
2016-03-25 06:12:28.050	39002.586954023995	36.48244530516604	12.2013959522582	30651.213626825498	22666.175092257065	8243.14254371806	-10.133243023830127	4.80882097403925
2016-03-25 06:23:18.050	15770.3942628564	-4.258575517161944	17.2583624677295	15018.777920083186	-1118.3483061008608	4678.7757009069255	-4.472793117142531	4.81627153688762
2016-03-25 07:41:48.050	57420.4802388631	113.97114572167493	-62.7029980316379	-10698.564214280808	24061.97318978733	-51026.20621630157	-6.705463689222295	4.87025854741217
2016-03-25 08:29:15.050	66564.2987309199	62.66479639277998	-33.9484466745081	25355.75063195789	49051.895721222565	-37172.61494142452	-9.172484231573975	4.90289067990584
2016-03-25 08:40:44.050	44952.7053881592	16.71199257031003	-47.1645462423295	29272.21295870716	8788.763619215766	-32964.236746211536	-8.931296233273978	4.91078786570921
2016-03-26 06:00:39.050	63839.4664992377	70.40971304178504	-5.11263318746928	21319.693182268456	59904.787950324644	-5688.984632416219	-10.067057527087053	5.79078313951562
2016-03-26 06:08:53.050	68332.3998896204	74.40411495993703	-16.9654218772463	17571.713697569012	62952.26161051717	-19939.019798542387	-10.269972700686226	5.7964425282143
