time	speed	ra	dec	vx	vy	vz	mass	sunlon
2016-03-21 06:57:39.050	69718.25942327609	278.568281697716	-28.0120606068206	9170.309747044917	-60863.71177428235	-32743.697182993295	5.54501392449809e-05	0.874447381304791
2016-03-21 09:03:29.050	43143.9460076484	334.675491380824	-14.5627002039276	37744.91843290296	-17861.69844934993	-10848.08453639965	0.000109846765417731	0.961182750105587
2016-03-22 00:38:54.050	36437.432645939305	66.8729589386065	-78.5305554979672	2845.7894244794675	6663.144184238982	-35709.80943604889	0.000420553146142977	1.60581320777898
2016-03-22 08:03:24.050	66263.2147526107	250.757084555367	-14.1874210830962	-21172.530621889746	-60652.910372376646	-16240.752438732346	4.17786347526193e-05	1.91204838467515
2016-03-23 02:34:16.050	30706.4858306478	198.944641096844	35.3298962393653	-23694.485560911256	-8133.0663859329625	17757.050916003747	0.00022865415160422002	2.67713207178608
2016-03-23 06:40:21.050	36797.0821736683	65.5031635293224	-77.0442143187222	3420.7516622814273	7507.252875582839	-35860.352324297506	0.00021472182533322	2.84657027728516
2016-03-23 08:58:10.050	57152.959868935	294.303088721251	-66.4371578912414	9403.057797397874	-20822.47157315972	-52387.67033781752	0.000280990371045666	2.94145532685184
2016-03-23 23:42:29.050	9625.64830654363	117.245920026101	-13.8826276811142	-4278.000303522733	8307.70412141969	-2309.517472389406	0.007770872825540251	3.55017355298865
2016-03-24 02:05:00.050	14381.7733490695	156.950137039478	17.7463477868245	-12603.879091951863	5362.979210216251	4383.616143123467	0.00317760963126418	3.64824349509496
2016-03-24 04:26:27.050	18054.7967673063	185.958862033134	23.6407988791278	-16450.2230744501	-1717.047394186027	7239.999679259835	0.000370212096112941	3.74558542905814
2016-03-24 04:55:14.050	30604.9791126059	195.95732662724	-3.88864269377014	-29357.923428958093	-8394.590767725487	-2075.5539657872364	0.000399004977817553	3.76540412705236
2016-03-24 07:27:26.050	69026.8855507736	268.767179494441	-40.8325308187603	-1123.6784793304619	-52215.304751973024	-45133.249663338785	9.01432945965762e-05	3.8701367563546
2016-03-25 01:37:21.050	27090.6524627503	194.124756528805	-3.02660708044454	-26234.96597321412	-6601.820162488353	-1430.3781961349773	0.000102893802193877	4.61995587700952
2016-03-25 02:30:19.050	26295.2675922196	115.846663537621	0.86257123677206	-11462.496319866526	23662.11268172649	395.8526250500116	0.0	4.65638684058582
2016-03-25 05:52:12.050	66134.24145493351	249.714570492544	-19.1108035445	-21664.895076023284	-58613.62622895132	-21652.09076410721	1.21425772609339e-05	4.79523732367487
2016-03-25 06:23:18.050	16028.503131825499	175.855410076977	17.1252934267002	-15277.790608590558	1107.0772111190229	4719.788852864388	0.00946832972947724	4.81662620468531
2016-03-25 07:41:48.050	57862.4295462486	293.202248795757	-62.037768646591	10689.04891414597	-24936.716546282078	-51107.38845016403	0.0011407200277053	4.87061309271814
2016-03-25 08:29:15.050	66397.79276096751	242.648648013311	-33.9593145604279	-25302.882434010746	-48915.817539356845	-37090.07708963907	9.791052762832721e-05	4.90324515128289
2016-03-25 08:40:44.050	44876.9058483247	196.929535258484	-47.2034051513645	-29167.971529866667	-8878.333547223687	-32929.33811628363	0.000129236164391168	4.91114231910845
2016-03-25 23:56:34.050	12998.657925384301	153.569665196588	17.5483022118449	-11098.300214756639	5516.569830856313	3919.221543313779	0.00463857747134098	5.54085700916462
2016-03-26 05:17:00.050	35892.232492213305	201.987430738966	-12.115482492032	-32540.350423925647	-13138.85189083122	-7533.161258994487	0.000252283684708343	5.76113155973889
2016-03-26 06:00:39.050	62722.8619370289	250.534864465838	-4.96739321792221	-20822.837445312005	-58915.787637036105	-5431.097256113613	4.68142910931849e-05	5.79113571447622
2016-03-26 06:08:53.050	68663.148032091	254.404171938519	-16.9817041415907	-17655.171398164377	-63251.49931646368	-20054.19294805143	3.0981976620379396e-05	5.79679509193398
2016-03-26 06:51:26.050	38946.0378760815	100.375406593598	-84.6259227743097	-656.9221734035336	3587.9606543482605	-38774.848263353844	0.00161510554983076	5.82604256934002
2016-03-26 07:27:13.050	38229.0938536919	220.279501301588	20.5518925859715	-27308.748485267297	-23142.71092886295	13420.53664746243	0.000174059783572613	5.85063850312779
2016-03-26 08:18:18.050	65413.0722000253	292.879826908138	-10.2697740242112	25025.126045479243	-59301.0093186141	-11662.048484174748	6.75208007189336e-05	5.88575043597741
2016-03-26 09:12:53.050	43412.230276280396	199.127833561028	-55.0252414234934	-23510.68289274243	-8154.0967608202845	-35572.18342318735	0.00016289794540663499	5.92326734427268
2016-03-27 01:20:54.050	17747.5519492687	171.258498452274	-5.05685143906012	-17473.12161919673	2686.717585713629	-1564.3432127791864	0.000388605195012234	6.58849108186591
2016-03-27 03:39:32.050	10528.290655112	141.672385200885	4.70526447921314	-8231.373079813096	6507.190888521089	863.6365438047728	0.140836499020226	6.68374091158895
2016-03-27 04:48:50.050	64862.91646318941	272.5664449019	-47.2816638586824	1970.3486204923695	-43958.530781446265	-47654.624434162244	6.9167023642753e-06	6.73135256399065
2016-03-27 05:39:22.050	36848.146522239804	162.532359171394	43.2498920772998	-25601.523289280143	8056.235613312926	25247.672667707186	0.00043163076318891605	6.76607006564506
2016-03-27 06:12:23.050	26358.5842753293	192.017664007762	26.1661684640076	-23138.840962665698	-4925.768853800739	11623.502273541637	5.12639519751101e-05	6.78875288952599
2016-03-28 01:09:36.050	31623.5512701307	197.392486767772	-6.11011524921253	-30006.273282143007	-9399.075062941996	-3365.998605632186	0.0115334651400042	7.56986761679792
