name	ACOM	Prec	year	month	day	hour	min	sec	GAST[rad]	stat.no	stat.names	stat.pts	stat.lon[deg]	stat.lat[deg]	stat.alt[m]	stat.angles[deg]	met.angles[deg]	L.sun[deg]	max.mag	max.lum[erg]	catalog	beg.h[km]		end.h[km]		beg.velo[km/s]		end.velo[km/s]		tra.len[km]	tra.com[%]	tra.dur[s]	mass.cep[g]		mass.pec[g]		mass.hal[g]		mass.hil[g]		mass.wer[g]		method	rad.obs.ra[deg]		rad.obs.dec[deg]		rad.obs.azi[deg]		rad.obs.zen[deg]		rad.geo.ra[deg]		rad.geo.dec[deg]		rad.xi		rad.eta		rad.zeta		ep.x	ep.y	ep.z	rad.L_G[deg]		rad.B_G[deg]		rad.L_H[deg]		rad.B_H[deg]		geo.v[km/s]		hel.v[km/s]		A[AU]		ECC		INC[deg]		NODE[deg]		PERI[deg]		MA[deg]		q[AU]		L.sun[deg]
B_at_2022.03.05.12.29.13/2015/06/06/M.23.40.7.500--01	GG	TRUE	2015	6	6	23	40	7.05	4.364938175	2	"amos-lp;amos-te"	"8;10"	"-17.88227;-16.512267"	"28.76003;28.30037"	"2339;2416"	"16.9;"	"5.61;6.9"	75.73451971	"-1.37359956612362;-1.16633659732631"	"21.5010507055809;18.1466890820021"	_spo	94.01369391	0.242286387	86.55761818	0.359297452	59.22172264	0.253848079	59.22172264	0.253848079	26.64977519	66.67	0.45	0.17934618	0.025761559	0.183523689	0.026361623	850513.3739	122125.2436	0.000402704	5.77531E-05	0.426370188	0.06115138	C	303.0189432	0.311103934	4.156051826	0.193822369	276.2491643	0.334009457	69.95384151	0.188235974	303.3498814	0.316495623	3.798075694	0.194862055	0.543483354	0.004419428	-0.836285525	0.003139516	0.072473195	0.00337403	0.346285744	0.302014293	0.888185538	306.6091437	0.380773727	23.09888783	0.122505293	275.3767903	0.491704523	32.66399115	0.285605058	57.76890105	0.25851392	41.99106239	0.266048213	-59.694035	331.1295124	1.006346024	0.009523629	117.6724705	0.378172064	75.7316938	2.91149E-05	284.441321	0.932045349	0	0.099001781	0.378819749	0.007214455	75.73451971
B_at_2022.03.05.12.29.13/2015/06/06/M.23.49.21.500--01	GG	TRUE	2015	6	6	23	49	21.05	4.405336498	2	"amos-lp;amos-te"	"13;10"	"-17.88227;-16.512267"	"28.76003;28.30037"	"2339;2416"	"58.39;"	"4.51;5.12"	75.74065439	"0.0558977549007911;1.27757310381509"	"1.72161608968881;0.513490996158953"	_spo	91.96703798	0.137797525	77.40897767	0.108289133	27.71943055	0.126023002	27.71943055	0.126023002	18.01762985	69.23	0.65	0.142413125	0.015294282	0.145730353	0.015650531	0.201499666	0.021414227	8.46982E-05	8.94E-06	0.167728753	0.018026462	C	251.6418529	0.114574143	31.42434109	0.035361641	255.5604848	0.14137591	15.0313006	0.097290192	251.224297	0.11952614	31.64557358	0.037279039	-0.26876106	0.001621664	-0.809900316	0.000620811	0.521372201	0.000526631	0.056053837	0.527219353	0.847878365	242.6965619	0.167158158	53.31965429	0.042118677	189.5932855	0.126446983	29.52793368	0.115947713	25.29094536	0.13743375	41.15275592	0.089588288	16.17726924	1.643120543	0.945264414	0.007363968	31.76951339	0.145069263	75.74548304	3.25331E-05	222.4535834	0.102859482	359.5719654	0.095356026	0.885472306	0.000642374	75.74065439
B_at_2022.03.05.12.29.13/2015/06/07/M.4.4.19.500--01	GG	TRUE	2015	6	7	4	4	19.05	5.520884399	2	"amos-lp;amos-te"	"6;7"	"-17.88227;-16.512267"	"28.76003;28.30037"	"2339;2416"	"3.84;"	"2;4.06"	75.91005282	"0.675717223167711;0.091124321602911"	"1.50225649441451;2.09626785370179"	_spo	110.882388	2.959843835	85.3513671	2.646760849	56.19420818	3.949888818	56.19420818	3.949888818	38.95615762	0	0.693241508	0.035886619	0.008136585	0.036722526	0.00832611	145396.2213	30357.42789	7.35097E-05	0.185966911	0.078016075	0.014797632	C	345.9159108	1.744281531	47.87920714	1.839513957	228.1681288	3.141449449	40.4396096	0.765219733	345.9137508	1.81892077	48.10328543	1.840024168	0.650534475	0.028002325	-0.16321093	0.014003946	0.741732492	0.02157317	0.752969264	0.011026911	-0.657963293	12.78422416	0.172893111	48.38098063	2.201145915	65.14791073	3.208272042	67.47770473	1.360961433	54.88491415	4.038835418	44.41760421	4.338666106	-3.95045015	37.3368286	1.223800885	0.409882718	94.42812638	1.158375486	75.91110253	7.32778E-05	139.9900088	8.991499734	0	2.985291813	0.88411424	0.037280088	75.91005282
B_at_2022.03.05.12.29.13/2015/06/07/M.5.8.16.500--01	GG	TRUE	2015	6	7	5	8	16.05	5.800682887	2	"amos-lp;amos-te"	"17;25"	"-17.88227;-16.512267"	"28.76003;28.30037"	"2339;2416"	"56.55;"	"11.64;28.19"	75.95253998	"-2.05606851158426;-2.58158202093787"	"15.0061196101247;13.0491328268254"	_JEA	100.0218372	0.11234796	88.41537379	0.086854175	43.59577509	0.032759784	39.04356462	0.08767596	50.89997993	62.79	1.2	0.57422601	0.051796385	0.587601452	0.053002878	1006431.792	92074.50493	0.00072082	6.55692E-05	0.85162587	0.077178029	C	42.13505363	0.075513064	24.31304185	0.031846431	249.8011432	0.047706177	75.69539322	0.06011247	43.38955038	0.078447179	23.82531142	0.032473409	0.675795778	0.000867692	0.61137977	0.000861481	0.411721804	0.000506542	0.559817861	-0.062369052	-0.826265129	47.95892435	0.071847968	6.929499898	0.033433307	90.95881129	0.072949782	7.523565989	0.039477047	41.76781718	0.033948125	38.48012589	0.037264463	3.314608738	0.035296683	0.978232065	0.0001832	27.03771393	0.208011803	75.96097323	6.02281E-05	28.53388599	0.130712716	5.313579815	0.086516329	0.072152189	0.000549717	75.95253998
B_at_2022.03.05.12.29.13/2015/06/07/M.21.5.47.500--01	GG	TRUE	2015	6	7	21	5	47.05	3.706891066	2	"amos-lp;amos-te"	"43;58"	"-17.88227;-16.512267"	"28.76003;28.30037"	"2339;2416"	"40.81;"	"13.89;49.84"	76.58864492	"-1.31795057693891;-2.91239401664257"	"7.61234508649733;14.356069090449"	_spo	96.26691663	0.208507263	81.73320858	0.112751038	29.71255168	0.100788061	22.44815714	0.145585826	84.01996461	76.11	2.9	3.900794727	0.239464273	3.997932042	0.245269713	5.826530842	0.355275056	0.002548992	0.000154799	4.615095424	0.282748925	C	251.6688454	0.064984858	-30.92692283	0.068947386	313.8330888	0.032424323	79.57654989	0.082728844	254.1416455	0.078189926	-33.68749702	0.069360024	-0.26979292	0.001082492	-0.814292909	0.000396411	-0.513944393	0.001032296	0.513868826	-0.573135367	0.638321769	256.6078326	0.072161314	-10.98254777	0.063444725	208.6979908	0.106634751	-7.479786007	0.050465767	27.240948	0.108925688	39.87392372	0.085202077	5.604925516	0.248559953	0.903454995	0.004220634	10.03914553	0.077621519	256.5692672	0.000137275	89.07334178	0.130395427	356.8797061	0.207970508	0.541127561	0.000929372	76.58864492
B_at_2022.03.05.12.29.13/2015/06/07/M.21.27.40.500--01	GG	TRUE	2015	6	7	21	27	40.05	3.802636546	2	"amos-lp;amos-te"	"17;17"	"-17.88227;-16.512267"	"28.76003;28.30037"	"2339;2416"	"18;"	"3.33;7.85"	76.6031931	"-1.94849288987414;-0.939655245915952"	"39.2082188579124;11.6867370915756"	_spo	94.74561118	0.284489984	81.49150679	0.571734079	37.74087859	0.389004643	32.64600408	0.762076639	33.67533306	63.16	0.931645118	1.454202364	0.126165979	1.488075088	0.129104762	217524.1112	229750.7491	0.001291324	0.000119394	1.829578969	0.160238714	C	270.7559866	0.116761553	17.39418766	0.43236112	263.3597483	0.483517028	64.05924024	0.101905684	271.8869911	0.11399404	16.87416022	0.448780018	0.012590716	0.001915864	-0.954187595	0.002299445	0.298943988	0.007194356	0.419469833	0.276429356	0.864657083	272.3678422	0.151349588	40.29793097	0.447240418	216.3994596	0.365800176	34.17507925	0.47041823	35.68796323	0.408557888	41.08898674	0.30069714	14.81169305	5.547568212	0.959428497	0.016278752	46.44628307	0.613844129	76.60438305	6.61031E-05	260.3841213	0.992843434	359.3081244	0.577324971	0.600932645	0.005894916	76.6031931
B_at_2022.03.05.12.29.13/2015/06/07/M.21.36.4.500--01	GG	TRUE	2015	6	7	21	36	4.05	3.839388807	2	"amos-lp;amos-te"	"40;34"	"-17.88227;-16.512267"	"28.76003;28.30037"	"2339;2416"	"29.4;"	"13.73;21.9"	76.60877321	"-1.01672392510211;-0.203190799882573"	"3.95035729938056;1.75843133830494"	_spo	96.18122704	0.137312062	78.36431184	0.193260803	26.49626937	0.075484081	21.14404434	0.164881771	48.98435903	90.81	1.95	0.808498375	0.048732534	0.869859962	0.052013385	1.109087894	0.066966861	0.000439167	2.67288E-05	1.018188023	0.060696607	C	256.498142	0.051879883	-14.28410022	0.081067208	301.7561654	0.041606068	67.92443321	0.087254003	258.6973525	0.075998705	-16.8701418	0.098752518	-0.226258779	0.000924026	-0.942301026	0.000194581	-0.246730098	0.001371204	0.579334146	-0.333808806	0.743601795	259.1265541	0.080028634	6.143525904	0.093328978	206.0831379	0.070780582	3.955714077	0.064523646	23.70097618	0.083507791	36.75400135	0.076043494	2.232674063	0.031443769	0.761636713	0.003252604	5.116606565	0.087392754	76.64257469	0.000610752	275.7098485	0.187242853	346.194109	0.329230101	0.532187529	0.000416026	76.60877321
B_at_2022.03.05.12.29.13/2015/06/07/M.22.40.15.4000--01	GG	TRUE	2015	6	7	22	40	15.4	4.12023371	2	"amos-lp;amos-te"	"21;27"	"-17.88227;-16.512267"	"28.76003;28.30037"	"2339;2416"	"41.73;"	"6.77;5.36"	76.65142105	"0.43361475059924;-0.348275330775484"	"1.26043143439408;1.61681852646128"	_spo	89.19679581	0.216861494	78.54810478	0.195476021	15.4556233	0.058359499	13.64065777	0.156285925	19.31304997	74.06	1.3	6.653024132	0.591582716	1.628619171	0.146578596	1.177941933	0.104668092	2.142220024	0.191409554	3.88425746	0.359509005	C	153.9886612	0.126357847	43.2996653	0.036748435	124.836021	0.050527654	53.83448534	0.090256101	139.808974	0.237908102	40.27498187	0.056686501	-0.654058273	0.000895018	0.319165778	0.00140325	0.685814102	0.000466762	0.660602798	-0.200692457	0.723413077	129.4258968	0.174182668	23.40715975	0.10301139	156.9384305	0.028548016	6.635862275	0.061626438	11.13708137	0.082277541	38.27799675	0.078005002	3.135083211	0.066479967	0.687441317	0.006556152	6.732033561	0.062706461	76.67867133	0.000269168	156.218762	0.129234873	3.271445372	0.125182812	0.979897479	0.00022601	76.65142105
B_at_2022.03.05.12.29.13/2015/06/07/M.22.57.13.500--01	GG	TRUE	2015	6	7	22	57	13.05	4.194441926	2	"amos-lp;amos-te"	"11;13"	"-17.88227;-16.512267"	"28.76003;28.30037"	"2339;2416"	"66.01;"	"2.28;9.97"	76.66268082	"1.32837173686132;0.876555249258226"	"0.835348221996065;0.679009050096401"	_spo	100.0100884	0.252318077	88.01786004	0.240134592	38.84828363	0.108881678	38.84828363	0.108881678	23.30897018	83.33	0.6	0.031617239	0.002599064	0.032353699	0.002659604	42323.8686	3497.15235	3.3945E-05	2.79E-06	0.042985478	0.003534403	C	290.8022855	0.094017779	36.72757965	0.108064998	242.8695603	0.11983748	55.98891537	0.199402611	291.9587509	0.10087549	36.7395222	0.111301038	0.284643813	0.001440623	-0.749240097	0.000962689	0.598011017	0.001511861	0.001667354	-0.623428318	-0.781878732	304.0185203	0.13286282	57.61372544	0.117704373	208.3170376	0.231236365	57.57047056	0.082587759	36.91051553	0.113854971	36.92704248	0.107686533	2.306855711	0.047364401	0.633139279	0.007025233	64.60584019	0.118881094	76.66302032	8.80E-06	235.1461162	0.500912702	349.116828	0.438055625	0.84629475	0.001968245	76.66268082
B_at_2022.03.05.12.29.13/2015/06/07/M.23.27.31.500--01	GG	TRUE	2015	6	7	23	27	31.05	4.32701259	2	"amos-lp;amos-te"	"25;26"	"-17.88227;-16.512267"	"28.76003;28.30037"	"2339;2416"	"11.62;"	"8.4;19.87"	76.68280886	"-3.62126184100233;-3.09506691828772"	"84.1826086321606;45.5934316584731"	_spo	103.0368279	0.79064179	84.16413691	0.442995994	40.70934359	0.424922798	34.88316851	1.652225111	50.31607085	88.86	1.25	4.323322202	0.353574804	4.424025313	0.361810619	6393135.34	714941.4835	0.004969623	0.000451668	6.095911394	0.525319866	C	282.208692	0.266401227	-17.07523342	0.066235739	306.3393722	0.318830087	66.87534359	0.495974631	282.7748949	0.292117645	-18.20727884	0.054427761	0.202151345	0.004407704	-0.934300771	0.000667181	-0.293627148	0.001105173	0.686749466	-0.078518286	0.722641024	282.1667234	0.280921207	4.694068585	0.039976482	236.6129211	0.339994223	4.914217323	0.049178964	38.84135183	0.442964597	37.09377553	0.428864523	2.383405314	0.21844264	0.957462684	0.003907207	14.05759467	0.287174624	76.69567216	0.000293859	327.1473216	0.385606639	350.7469215	1.248578415	0.101383665	0.001638167	76.68280886
